dataset_label,dataset_session,dataset_row_index,dataset_manual_lap_count,dataset_manual_lap_marked,dataset_manual_lap_mark_at_ms,dataset_manual_lap_mark_age_ms,timestamp_unix_ms,uptime_ms,state,local_mode,local_mode_candidate,ai_source,ai_track_mode,line_pos,line_lost,lost_ms,balance_lr,confidence_fast,confidence_avg,sensor_sum,sensor_max,norm0,norm1,norm2,norm3,raw0,raw1,raw2,raw3,pos_norm,trend_pos,trend_pos_avg,curve_intensity,pid_error,pid_integral,pid_d_filt,pid_correction,motor_a_pwm,motor_b_pwm,base_eff,ai_confidence,ai_blend,ai_speed_factor,ai_kp_scale,ai_ki_scale,ai_kd_scale,ai_pivot_threshold,ai_pivot_cap,ai_recovery_bias,dominant_sensor,dataset_label_age_ms,dataset_label_set_at_ms,dataset_label_source,dataset_label_valid,drive_profile,intersection_active,intersection_score,last_dir,run_elapsed_ms,run_intersection_count,run_lap_estimate,seq_fast,seq_slow,timestamp_valid
straight,session_20260423_145902,17,,,,,1776977943000,291820,running,left_soft,left_soft,heuristic,straight,46,0,0,0.057783,0.911083,0.911083,3167,877,820,672,798,877,0,0,0,0,0.030667,0.031333,0.066778,0.422947,0.030667,-0.025294,6.567007,1.25,193,0,86,0.859527,0.58,0,0,0,0,0,0,-0.136342,right_outer,0,0,auto:ai_track_mode,1,normal,1,0.914476,right,239,1,0,2162,0,1
straight,session_20260423_145902,18,,,,,1776977943000,292072,running,straight,straight,heuristic,straight,-6,0,0,-0.019563,0.9381,0.9381,1738,860,26,860,821,31,0,0,0,0,-0.004,-0.002667,-0.000556,0.005288,-0.004,-0.014781,-0.098873,-0.037728,103,109,106,0.957652,0.58,0,0,0,0,0,0,-0.25,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.308051,left,491,1,0,2163,0,1
curve,session_20260423_145902,19,,,,,1776977943000,292322,running,left_hard,left_hard,heuristic,left_hard,-1060,0,0,-0.929704,0.874328,0.874328,1451,890,890,510,26,25,0,0,0,0,-0.706667,-0.001333,0.003,0.008187,-0.706667,-0.010884,0.024676,-0.273517,60,66,52,0.796925,0.58,0,0,0,0,0,0,-0.357915,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.145923,left,741,1,0,2164,0,1
recovery,session_20260423_145902,20,,,,,1776977944000,292573,running,left_hard,left_hard,heuristic,recover,-991,0,0,-0.93205,0.892961,0.892961,1766,955,955,751,33,27,0,0,0,0,-0.660667,0.004667,0.040778,0.327077,-0.660667,0,5.730252,1.25,99,-60,44,0.538085,0.58,0,0,0,0,0,0,-0.354472,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.177472,left,992,1,0,2166,0,1
curve,session_20260423_145902,21,,,,,1776977944000,292825,running,left_hard,left_hard,heuristic,left_hard,-1281,0,0,-0.90495,0.784183,0.784183,1010,862,862,100,23,25,0,0,0,0,-0.854,0.011333,-0.005333,0.049318,-0.854,-0.006612,-0.912948,-0.743058,60,78,45,0.82796,0.58,0,0,0,0,0,0,-0.371287,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.11885,left,1243,1,0,2167,0,1
recovery,session_20260423_145902,22,,,,,1776977944000,293075,running,left_hard,left_hard,heuristic,recover,-1238,0,0,-0.820711,0.348269,0.348269,647,567,567,22,27,31,0,0,0,0,-0.825333,-0.008667,-0.157778,0.583744,-0.825333,0,-5.12692,-1.25,-60,90,40,0.340853,0.58,0,0,0,0,0,0,-0.25,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.02398,left,1493,1,0,2169,0,1
curve,session_20260423_145902,23,,,,,1776977944000,293324,running,left_hard,left_hard,heuristic,left_hard,-931,0,0,-0.917173,0.928356,0.928356,1811,885,885,851,47,28,0,0,0,0,-0.620667,-0.001333,0.003667,0.051659,-0.620667,-0.042419,1.071485,0.210675,69,60,57,0.856779,0.58,0,0,0,0,0,0,-0.368805,left_outer,0,0,auto:ai_track_mode,1,normal,0,0.199289,left,1743,1,0,2170,0,1
curve,session_20260423_145902,24,,,,,1776977945000,293574,running,straight,straight,heuristic,left_soft,-24,0,0,-0.062802,0.984214,0.984214,1863,941,49,941,812,61,0,0,0,0,-0.016,0.004667,0.011111,0.188958,-0.016,-0.122175,4.057295,1.25,200,0,89,0.89232,0.58,0,0,0,0,0,0,-0.120126,left_inner,0,0,auto:ai_track_mode,1,normal,0,0.296453,left,1993,1,0,2171,0,1
straight,session_20260423_145902,25,,,,,1776977945000,293824,running,straight,straight,heuristic,straight,19,0,0,0.028294,0.804222,0.804222,1237,629,0,601,629,7,0,0,0,0,0.012667,0.000667,-0.000556,0.029352,0.012667,-0.215925,0.700471,0.184203,127,89,108,0.89924,0.58,0,0,0,0,0,0,0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.256687,left,2243,1,0,2172,0,1
curve,session_20260423_145902,26,,,,,1776977945000,294076,running,right_hard,right_hard,heuristic,right_hard,1076,0,0,0.911842,0.960469,0.960469,1520,971,27,40,482,971,0,0,0,0,0.717333,0.014,0.006889,0.190305,0.717333,-0.068946,4.344285,1.25,105,-60,47,0.88993,0.58,0,0,0,0,0,0,0.366021,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.158107,right,2495,1,0,2173,0,1
recovery,session_20260423_145902,27,,,,,1776977945000,294326,running,right_hard,right_hard,heuristic,recover,1369,0,0,0.923648,0.67012,0.67012,943,873,17,19,34,873,0,0,0,0,0.912667,0.004667,0.065333,0.407336,0.912667,0,6.263403,1.25,90,-60,40,0.345649,0.58,0,0,0,0,0,0,0.25,right_outer,0,0,auto:ai_track_mode,1,normal,0,0.091015,right,2745,1,0,2175,0,1
straight,session_20260423_145902,28,,,,,1776977946000,294578,running,straight,straight,heuristic,straight,-2,0,0,-0.001635,0.929647,0.929647,1835,880,40,879,880,36,0,0,0,0,-0.001333,-0.000667,-0.000667,0.019177,-0.001333,-0.079409,-0.439425,-0.164865,90,124,107,0.960527,0.58,0,0,0,0,0,0,-0.25,right_inner,0,0,auto:ai_track_mode,1,normal,0,0.320156,left,2996,1,0,2176,0,1
