sample_index,time_s,sensor_1,sensor_2,sensor_3,sensor_4,line_position_weighted,line_pos_firmware,motor_a_pwm,motor_b_pwm,line_lost,local_mode,manual_lap_count,manual_lap_marked,guide_x_cm,guide_y_cm,predicted_x_cm,predicted_y_cm
0,0.126,118.0,994.0,994.0,165.0,0.031043593130779392,31.0,239.0,60.0,0,straight,0,0,99.10089487338978,107.40403227158839,103.99566424718627,101.45325031012142
1,0.376,36.0,636.0,935.0,70.0,0.1195587358378056,119.0,162.0,86.0,0,straight,0,0,110.72407964043087,101.90822396817502,104.56357741924943,98.10055005229698
2,0.626,771.0,33.0,25.0,27.0,-1.308411214953271,-1308.0,60.0,67.0,0,left_hard,0,0,106.97498030710447,91.72977764538412,101.71877491179518,94.65122775648776
3,0.878,48.0,919.0,929.0,857.0,0.4426080639302579,442.0,195.0,0.0,0,right_soft,0,0,97.49971369985859,83.85603960008622,96.01432102148462,95.79423821868289
4,1.129,877.0,34.0,34.0,36.0,-1.2859327217125383,-1285.0,103.0,60.0,0,left_hard,0,0,84.32887570694244,87.26421244853098,85.09470390263657,87.40600637967472
5,1.379,23.0,34.0,836.0,902.0,0.9579387186629527,957.0,-60.0,141.0,0,right_hard,0,0,71.70915734912477,81.70373717310837,76.98328610654413,81.38904116557198
6,1.629,42.0,56.0,861.0,957.0,0.9264091858037579,926.0,60.0,102.0,0,right_hard,0,0,62.05883907902658,76.52410962861657,68.31080046288872,72.18841075050891
7,1.879,7.0,22.0,780.0,891.0,1.0029411764705882,1002.0,101.0,60.0,0,right_hard,0,0,58.97480713310976,65.12084078027398,60.751434727046465,60.85910727504148
8,2.129,19.0,22.0,819.0,890.0,0.9742857142857143,974.0,71.0,71.0,0,right_hard,0,0,58.071012601979554,52.06235626102935,54.09607963745881,49.11939091718111
9,2.38,35.0,32.0,33.0,33.0,-0.018796992481203006,-18.0,180.0,-180.0,1,recover,0,0,53.40171335838828,39.58181667062992,46.13727050271627,40.574432256842094
10,2.629,712.0,962.0,775.0,44.0,-0.43943040513437626,-439.0,136.0,82.0,0,left_soft,0,0,48.12088158562652,28.213792291460578,40.851037997273096,33.00258323339234
11,2.88,35.0,36.0,52.0,617.0,1.1905405405405405,1190.0,60.0,137.0,0,right_soft,0,0,37.56921108846744,19.63767949564815,39.70613440699839,28.787108883356723
12,3.131,24.0,804.0,853.0,31.0,0.02044392523364486,20.0,171.0,83.0,0,straight,0,0,26.423391055729454,27.465773106441024,32.386654721472524,31.304893620602932
13,3.382,900.0,312.0,32.0,33.0,-1.1280344557556774,-1128.0,123.0,-60.0,0,left_hard,0,0,27.355244161907088,39.72379199114652,32.26528918546474,36.56955606393354
14,3.632,16.0,803.0,785.0,36.0,0.012804878048780487,12.0,0.0,255.0,0,right_soft,0,0,32.71465889630262,50.140464327855305,35.42037357354948,42.6544021669768
15,3.882,39.0,25.0,32.0,31.0,-0.06692913385826772,-66.0,-180.0,180.0,1,recover,0,0,45.32805513114011,52.546757247586655,42.96864438163613,49.897348521449615
16,4.133,780.0,787.0,743.0,33.0,-0.48762270593256507,-487.0,130.0,82.0,0,left_soft,0,0,58.32254936203716,51.748079999999995,53.72572283264882,55.598770553075376
17,4.384,885.0,907.0,872.0,50.0,-0.4679439941046426,-467.0,61.0,147.0,0,left_soft,0,0,71.32505425792041,51.79128,68.06289156305185,56.68354604919625
18,4.634,864.0,740.0,27.0,25.0,-0.9752415458937198,-975.0,60.0,132.0,0,left_hard,0,0,84.20561169137363,50.386374431965606,85.08137859204469,53.05335495705058
19,4.885,134.0,939.0,638.0,44.0,-0.16267806267806267,-162.0,60.0,201.0,0,straight,0,0,96.83939442599429,49.69358386128507,96.731405812769,46.53038653576755
20,5.137,632.0,820.0,61.0,12.0,-0.858688524590164,-858.0,77.0,95.0,0,left_hard,0,0,103.15055783275942,39.77538615262652,105.23550300675295,38.50222746957909
21,5.388,987.0,170.0,50.0,55.0,-1.1553090332805072,-1155.0,60.0,77.0,0,left_hard,0,0,103.25759262305266,27.609708450099255,105.4088879777671,28.35072626139102
22,5.639,932.0,781.0,32.0,29.0,-0.9746335963923337,-974.0,123.0,-60.0,0,left_hard,0,0,98.70430933474091,18.116063567734827,100.74180092722152,22.274086047463825
